#{"t_start": 1712775906.6401145, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1268.575118,1201,1.168008,0
-1114.693102,1201,3.328558,0
-1118.85203,1201,4.4841,0
-1125.772564,1201,6.646101,0
-1318.33817,1201,7.806103,0
-1134.444456,1201,10.076102,0
-1193.449322,1201,12.279088,0
-1123.99647,1201,13.462086,0
-1228.860102,1201,15.692101,0
-1193.214754,1201,16.901096,0
-1112.8359,1201,19.096099,0
-1205.930366,1201,21.29511,0
-1091.777802,1201,22.512117,0
-1254.066312,1201,24.721143,0
-1086.974935,1201,25.902155,0
-1050.059542,1201,28.109713,0
-1117.293409,1201,29.313728,0
-1063.742944,1201,31.534171,0
-1059.77803,1201,33.740169,0
-749.923776,1201,34.90518,0
-1007.766671,1201,37.122239,0
-1071.498864,1201,38.266322,1
-630.549606,1201,40.432992,0
-569.643319,1201,42.568523,1
-194.882863,1201,43.726526,3
2.386987,1201,45.864524,4
192.005937,1201,47.011524,5
380.490224,1201,49.201526,8
282.511348,1201,51.318534,7
574.020447,1201,52.48413,11
479.251976,1201,54.63966,10
1486.760676,2261,57.388707,26
986.361264,1201,58.537223,22
868.511765,1201,60.703286,18
946.49473,1201,62.82332,18
847.405366,1201,63.982353,20
1024.458373,1201,66.143401,24
1063.388996,1201,67.302401,25
980.285893,1201,69.483498,23
990.481227,1201,70.631497,25
1062.769098,1201,72.787558,32
1047.003248,1201,74.935898,30
1044.634673,1201,76.080986,25
1068.427628,1201,78.233032,30
1053.187317,1201,79.377045,30
1087.397736,1201,81.565956,32
1082.820282,1201,83.689472,32
33407.960971,32965,119.283123,1000
19854.337975,18997,139.78044,1000
15248.679082,14290,155.517009,1000
13527.111222,12566,169.283534,1000
12542.094748,11581,182.459749,1000
11548.749734,10589,193.990811,1000
10700.184063,9847,205.115496,991
10379.158696,9417,214.993138,1000
10021.201185,9059,225.602781,1000
9419.915623,8459,234.872482,1000
9016.114655,8054,243.899223,1000
9061.816551,8101,253.06376,1000
6454.686193,7147,260.696641,759
10179.932864,9644,271.682762,673
7800.629371,7065,279.179861,873
30.726516,155,279.721877,13
9081.414618,8580,290.228906,638
8889.599928,8132,299.367006,972
9259.519877,9923,309.490286,638
9093.731074,8941,320.108564,608
8809.269519,8092,329.208257,979
7760.354961,7302,336.91544,596
8505.261475,8839,347.435295,590
10386.376247,9825,357.593746,698
11110.779683,11851,370.802702,700
8472.588685,8100,379.912752,637
9325.168854,9398,390.760178,611
8561.636586,9133,400.519879,608
1109.266351,1193,402.672404,52
9863.284114,10787,414.374083,658
8033.197354,8368,423.679606,572
9774.580526,9256,434.487465,655
7047.734836,7735,442.350023,540
8971.592358,8481,452.714076,628
9925.27512,10437,464.198794,646
11148.636774,10575,475.754401,711
8617.867239,9009,485.443532,624
8504.914287,8043,494.550134,599
7712.10902,7271,503.224149,580
6253.028701,5889,510.076704,503
8742.813753,9178,519.788917,570
7574.318075,7155,528.411968,557
8069.682642,8580,537.81754,588
8031.648743,8723,547.355148,580
8483.10255,9317,558.202407,633
8307.625313,7979,567.305624,571
9670.085534,9308,577.10191,660
7602.433835,8328,586.30141,539
8668.808997,8197,595.516838,604
8208.332666,7773,604.494892,574
7669.120476,8483,613.838655,575
7982.721034,7566,622.714444,555
7285.442952,6877,630.105563,547
7012.688098,6625,637.37126,526
7183.806373,6909,645.869235,546
286.284751,393,646.553237,32
8276.958685,7797,655.543271,617
7447.811216,7151,663.142962,543
8286.404663,8911,673.704813,583
9031.856277,8526,683.194931,643
9653.688077,10135,694.451348,657
7903.972481,8548,703.829815,584
8155.05401,7886,712.884912,581
7971.901405,8433,722.21395,610
134.399454,253,722.814982,18
8397.640037,7940,731.839503,594
6572.153063,6169,738.93709,539
9881.669362,10368,750.425278,647
8313.711653,8880,759.98954,608
631.287976,1372,762.237587,24
7191.368454,6982,769.728059,547
9303.865442,8792,780.382811,649
8576.628538,8349,789.65932,620
8512.043151,8268,798.949476,634
8167.800248,7819,807.89767,589
7602.026948,7188,815.654212,553
7940.913074,7658,824.594742,564
7247.056304,7771,833.581426,587
6702.300851,6323,840.695993,518
219.701599,332,841.351991,25
8664.807748,9264,851.226047,639
8280.885775,7827,860.243098,593
7291.902393,6871,868.793762,558
9692.632197,9322,878.649527,659
8887.479499,9666,889.68896,634
8837.527161,9603,899.702943,599
9232.343523,8748,910.243829,623
9231.643074,8734,919.794973,634
8369.980279,8974,929.411299,606
8340.212876,8115,938.579406,604
8515.76274,9257,949.425514,636
6393.971747,7115,956.983109,503
7020.879969,6625,965.315776,533
6145.9204,5800,971.113461,485
8642.89645,9129,981.912571,647
7176.967087,7896,990.944551,543
8824.808911,8483,1000.336663,598
7795.17299,7363,1008.045371,570
8039.1038,7705,1016.973463,585
7801.572261,7353,1025.721959,587
8641.478709,9398,1035.658168,613
8141.734358,8699,1046.184451,606
7539.108433,7110,1053.849193,568
7771.557907,7502,1062.711565,580
8695.567229,8212,1071.962084,622
8537.909735,9486,1081.977152,593
8625.563667,8213,1091.224356,630
8116.707689,7792,1100.187455,583
10027.407189,9519,1111.223834,647
10244.821036,10702,1122.814689,679
9563.960078,10586,1134.384838,642
